,Avg temp,,,,,10-yr MA,,,,,,,,,,,,,,,,
year,Shanghai,Amsterdam,New_York,San_Jose,global,Shanghai,Amsterdam,New_York,San_Jose,global,,,,,,,,,,,,
1743,,7.43,3.26,,,,,,,,,,,,,,,,,,,
1744,,10.31,11.66,,,,,,,,,,,,,,,,,,,
1745,,3.06,1.13,,,,,,,,,,,,,,,,,,,
1746,,,,,,,,,,,,,,,,,,,,,,
1747,,,,,,,,,,,,,,,,,,,,,,
1748,,,,,,,,,,,,,,,,,,,,,,
1749,,,,,,,,,,,,,,,,,,,,,,
1750,,10.04,10.07,,8.72,,,,,,,,,,,,,,,,,
1751,,9.63,10.79,,7.98,,,,,,,,,,,,,,,,,
1752,,5.97,2.81,,5.78,,,,,,,,,,,,,,,,,
1753,,9.08,9.52,,8.39,,,,,,,,,,,,,,,,,
1754,,8.72,9.88,,8.47,,,,,,,,,,,,,,,,,
1755,,8.55,6.61,,8.36,,,,,,,,,,,,,,,,,
1756,,9.17,9.94,,8.85,,,,,,,,,,,,,,,,,
1757,,9.05,8.89,,9.02,,,,,,,,,,,,,,,,,
1758,,8.79,8.15,,6.74,,,,,,,,,,,,,,,,,
1759,,9.64,9.01,,7.99,,,,,,,,,,,,,,,,,
1760,,9.14,7.73,,7.19,,,,,,,,,,,,,,,,,
1761,,9.41,10.18,,8.77,,,,,,,,,,,,,,,,,
1762,,8.58,9.55,,8.61,,,,,,,,,,,,,,,,,
1763,,8.44,7.23,,7.5,,,,,,,,,,,,,,,,,
1764,,9.07,9.55,,8.4,,,,,,,,,,,,,,,,,
1765,,8.87,8.96,,8.25,,,,,,,,,,,,,,,,,
1766,,8.85,10.09,,8.41,,,,,,,,,,,,,,,,,
1767,,8.5,8.52,,8.22,,,,,,,,,,,,,,,,,
1768,,8.61,8.67,,6.78,,,,,,,,,,,,,,,,,
1769,,8.81,9.1,,7.69,,,,,,,,,,,,,,,,,
1770,,8.84,9.04,,7.69,,,,,,,,,,,,,,,,,
1771,,8.22,10.18,,7.85,,,,,,,,,,,,,,,,,
1772,,9.3,9.64,,8.19,,,,,,,,,,,,,,,,,
1773,,9.54,10.08,,8.22,,,,,,,,,,,,,,,,,
1774,,8.9,9.52,,8.77,,,,,,,,,,,,,,,,,
1775,,9.93,10.24,,9.18,,,,,,,,,,,,,,,,,
1776,,8.89,9.13,,8.3,,,,,,,,,,,,,,,,,
1777,,8.78,8.77,,8.26,,,,,,,,,,,,,,,,,
1778,,9.56,6.89,,8.54,,,,,,,,,,,,,,,,,
1779,,10.57,0.25,,8.98,,,,,,,,,,,,,,,,,
1780,,9.25,,,9.43,,,,,,,,,,,,,,,,,
1781,,10.12,9.79,,8.1,,,,,,,,,,,,,,,,,
1782,,8.36,9.15,,7.9,,,,,,,,,,,,,,,,,
1783,,9.78,8.81,,7.68,,,,,,,,,,,,,,,,,
1784,,7.8,8.4,,7.86,,,,,,,,,,,,,,,,,
1785,,8,8.49,,7.36,,,,,,,,,,,,,,,,,
1786,,7.96,8.98,,8.26,,,,,,,,,,,,,,,,,
1787,,9.18,8.97,,8.03,,,,,,,,,,,,,,,,,
1788,,8.84,9.77,,8.45,,,,,,,,,,,,,,,,,
1789,,8.64,9.42,,8.33,,,,,,,,,,,,,,,,,
1790,,9.16,9.39,,7.98,,,,,,,,,,,,,,,,,
1791,,9.29,9.37,,8.23,,,,,,,,,,,,,,,,,
1792,,9.1,8.72,,8.09,,,,,,,,,,,,,,,,,
1793,,9.17,9.88,,8.23,,,,,,,,,,,,,,,,,
1794,,9.7,9.83,,8.53,,,,,,,,,,,,,,,,,
1795,,8.84,9.21,,8.35,,,,,,,,,,,,,,,,,
1796,,9.18,8.97,,8.27,,,,,,,,,,,,,,,,,
1797,,9.52,8.85,,8.51,,,,,,,,,,,,,,,,,
1798,,9.41,9.71,,8.67,,,,,,,,,,,,,,,,,
1799,,7.26,9.19,,8.51,,,,,,,,,,,,,,,,,
1800,,8.88,9.58,,8.48,,,,,,,,,,,,,,,,,
1801,,9.36,10,,8.59,,,,,,,,,,,,,,,,,
1802,,8.86,10.29,,8.58,,,,,,,,,,,,,,,,,
1803,,8.09,10.07,,8.5,,,,,,,,,,,,,,,,,
1804,,8.59,9.69,,8.84,,,,,,,,,,,,,,,,,
1805,,7.47,10.43,,8.56,,,,,,,,,,,,,,,,,
1806,,9.56,9.38,,8.43,,,,,,,,,,,,,,,,,
1807,,9.01,9.17,,8.28,,,,,,,,,,,,,,,,,
1808,,8.41,9.57,,7.63,,,,,,,,,,,,,,,,,
1809,,8.64,8.87,,7.08,,,,,,,,,,,,,,,,,
1810,,8.47,9.35,,6.92,,,,,,,,,,,,,,,,,
1811,,10.07,9.43,,6.86,,,,,,,,,,,,,,,,,
1812,,8,7.8,,7.05,,,,,,,,,,,,,,,,,
1813,,8.83,8.93,,7.74,,,,,,,,,,,,,,,,,
1814,,7.76,8.7,,7.59,,,,,,,,,,,,,,,,,
1815,,8.75,8.27,,7.24,,,,,,,,,,,,,,,,,
1816,,7.78,7.92,,6.94,,,,,,,,,,,,,,,,,
1817,,8.94,7.78,,6.98,,,,,,,,,,,,,,,,,
1818,,9.47,8.13,,7.83,,,,,,,,,,,,,,,,,
1819,,9.55,9.07,,7.37,,,,,,,,,,,,,,,,,
1820,,8.11,8.98,,7.62,,,,,,,,,,,,,,,,,
1821,,9.29,8.53,,8.09,,,,,,,,,,,,,,,,,
1822,,10.19,9.84,,8.19,,,,,,,,,,,,,,,,,
1823,,8.44,8.64,,7.72,,,,,,,,,,,,,,,,,
1824,,9.51,9.29,,8.55,,,,,,,,,,,,,,,,,
1825,,9.75,10.21,,8.39,,,,,,,,,,,,,,,,,
1826,,9.78,9.92,,8.36,,,,,,,,,,,,,,,,,
1827,,8.98,9.26,,8.81,,,,,,,,,,,,,,,,,
1828,,9.63,10.7,,8.17,,,,,,,,,,,,,,,,,
1829,,7.2,9.17,,7.94,,,,,,,,,,,,,,,,,
1830,,8.29,10.32,,8.52,,,,,,,,,,,,,,,,,
1831,,9.82,9.07,,7.64,,,,,,,,,,,,,,,,,
1832,,8.65,9.15,,7.45,,,,,,,,,,,,,,,,,
1833,,9.11,9.15,,8.01,,,,,,,,,,,,,,,,,
1834,,10.49,9.32,,8.15,,,,,,,,,,,,,,,,,
1835,,9.13,8.48,,7.39,,,,,,,,,,,,,,,,,
1836,,9.04,7.51,,7.7,,,,,,,,,,,,,,,,,
1837,,8.52,8.12,,7.38,,,,,,,,,,,,,,,,,
1838,,7.62,8.73,,7.51,,,,,,,,,,,,,,,,,
1839,,8.92,9.17,,7.63,,,,,,,,,,,,,,,,,
1840,,8.35,9.27,,7.8,,,,,,,,,,,,,,,,,
1841,14.87,9.34,9,,7.69,,,,,,,,,,,,,,,,,
1842,15.43,9.11,9.41,,8.02,,,,,,,,,,,,,,,,,
1843,15.53,9.2,8.49,,8.17,,,,,,,,,,,,,,,,,
1844,15.33,8.24,9.12,,7.65,,,,,,,,,,,,,,,,,
1845,15.43,7.99,9.49,,7.85,,,,,,,,,,,,,,,,,
1846,15.85,10.26,9.66,,8.55,,,,,,,,,,,,,,,,,
1847,15.78,8.62,9.3,,8.09,,,,,,,,,,,,,,,,,
1848,15.02,9.11,9.54,,7.98,,,,,,,,,,,,,,,,,
1849,15.44,8.8,8.83,14.12,7.98,,,,,,,,,,,,,,,,,
1850,15.6,8.46,9.1,13.8,7.9,,,,,,,,,,,,,,,,,
1851,15.22,8.66,9.26,14.39,8.18,,,,,,,,,,,,,,,,,
1852,15.44,9.66,8.98,13.81,8.1,,,,,,,,,,,,,,,,,
1853,15.79,7.8,9.68,14.4,8.04,,,,,,,,,,,,,,,,,
1854,15.99,8.91,9.56,13.98,8.21,,,,,,,,,,,,,,,,,
1855,15.84,7.22,9.11,14.2,8.11,,,,,,,,,,,,,,,,,
1856,15.55,8.79,8.2,14.1,8,,,,,,,,,,,,,,,,,
1857,15.93,9.82,8.52,14.78,7.76,,,,,,,,,,,,,,,,,
1858,15.49,8.57,9.13,14.19,8.1,15.629,8.669,9.037,14.177,8.038,,,,,,,,,,,,
1859,15.64,9.81,9.17,13.71,8.25,15.649,8.77,9.071,14.136,8.065,,,,,,,,,,,,
1860,15.05,7.84,9.18,13.81,7.96,15.594,8.708,9.079,14.137,8.071,,,,,,,,,,,,
1861,15.29,9.02,9.47,14.88,7.85,15.601,8.744,9.1,14.186,8.038,,,,,,,,,,,,
1862,14.47,9.55,9,14.43,7.56,15.504,8.733,9.102,14.248,7.984,,,,,,,,,,,,
1863,15.2,9.71,9.09,14.43,8.11,15.445,8.924,9.043,14.251,7.991,,,,,,,,,,,,
1864,14.85,7.77,9.29,15.18,7.98,15.331,8.81,9.016,14.371,7.968,,,,,,,,,,,,
1865,15.72,9.37,9.64,14.32,8.18,15.319,9.025,9.069,14.383,7.975,,,,,,,,,,,,
1866,15.54,9.5,8.95,14.67,8.29,15.318,9.096,9.144,14.44,8.004,,,,,,,,,,,,
1867,15.95,8.81,8.59,14.46,8.44,15.32,8.995,9.151,14.408,8.072,,,,,,,,,,,,
1868,15.86,10.4,7.95,14.25,8.25,15.357,9.178,9.033,14.414,8.087,,,,,,,,,,,,
1869,16.09,8.98,8.85,14.57,8.43,15.402,9.095,9.001,14.5,8.105,,,,,,,,,,,,
1870,15.95,8.21,10.04,14.19,8.2,15.492,9.132,9.087,14.538,8.129,,,,,,,,,,,,
1871,16.31,7.96,8.94,14.34,8.12,15.594,9.026,9.034,14.484,8.156,,,,,,,,,,,,
1872,16.12,10.07,8.61,14.63,8.19,15.759,9.078,8.995,14.504,8.219,,,,,,,,,,,,
1873,15.74,9.27,8.44,14.46,8.35,15.813,9.034,8.93,14.507,8.243,,,,,,,,,,,,
1874,15.68,9.06,9.06,14.09,8.43,15.896,9.163,8.907,14.398,8.288,,,,,,,,,,,,
1875,15.47,8.86,7.74,14.76,7.86,15.871,9.112,8.717,14.442,8.256,,,,,,,,,,,,
1876,15.6,9.11,9.35,14.44,8.08,15.877,9.073,8.757,14.419,8.235,,,,,,,,,,,,
1877,15.43,9.11,10.15,15.03,8.54,15.825,9.103,8.913,14.476,8.245,,,,,,,,,,,,
1878,15.46,9.28,10.38,14.37,8.83,15.785,8.991,9.156,14.488,8.303,,,,,,,,,,,,
1879,16.13,7.36,9.37,14.2,8.17,15.789,8.829,9.208,14.451,8.277,,,,,,,,,,,,
1880,15.28,9.29,9.99,13.22,8.12,15.722,8.937,9.203,14.354,8.269,,,,,,,,,,,,
1881,15.63,8.27,9.77,14.39,8.27,15.654,8.968,9.286,14.359,8.284,,,,,,,,,,,,
1882,15.54,9.2,9.22,13.58,8.13,15.596,8.881,9.347,14.254,8.278,,,,,,,,,,,,
1883,15.41,9,8.59,13.93,7.98,15.563,8.854,9.362,14.201,8.241,,,,,,,,,,,,
1884,14.92,9.74,9.36,14.05,7.77,15.487,8.922,9.392,14.197,8.175,,,,,,,,,,,,
1885,14.91,8.55,8.37,15.05,7.92,15.431,8.891,9.455,14.226,8.181,,,,,,,,,,,,
1886,15.06,8.8,8.9,14.58,7.95,15.377,8.86,9.41,14.24,8.168,,,,,,,,,,,,
1887,15.65,7.99,9.1,14.38,7.91,15.399,8.748,9.305,14.175,8.105,,,,,,,,,,,,
1888,15.87,7.84,8.31,14.7,8.09,15.44,8.604,9.098,14.208,8.031,,,,,,,,,,,,
1889,15.3,8.54,9.86,14.81,8.32,15.357,8.722,9.147,14.269,8.046,,,,,,,,,,,,
1890,16.22,8.26,9.62,14.05,7.97,15.451,8.619,9.11,14.352,8.031,,,,,,,,,,,,
1891,15.72,8.4,10,14.46,8.02,15.46,8.632,9.133,14.359,8.006,,,,,,,,,,,,
1892,15.43,8.34,9.15,14.05,8.07,15.449,8.546,9.126,14.406,8,,,,,,,,,,,,
1893,15.13,9.3,8.68,13.4,8.06,15.421,8.576,9.135,14.353,8.008,,,,,,,,,,,,
1894,16.23,9.17,9.95,13.8,8.16,15.552,8.519,9.194,14.328,8.047,,,,,,,,,,,,
1895,15.27,8.38,9.22,13.95,8.15,15.588,8.502,9.279,14.218,8.07,,,,,,,,,,,,
1896,15.73,8.8,9.51,14.22,8.21,15.655,8.502,9.34,14.182,8.096,,,,,,,,,,,,
1897,15.6,9,9.63,13.81,8.29,15.65,8.603,9.393,14.125,8.134,,,,,,,,,,,,
1898,16.33,9.57,10.24,13.77,8.18,15.696,8.776,9.586,14.032,8.143,,,,,,,,,,,,
1899,15.84,9.32,9.51,14.04,8.4,15.75,8.854,9.551,13.955,8.151,,,,,,,,,,,,
1900,15.8,9.35,10.4,14.64,8.5,15.708,8.963,9.629,14.014,8.204,,,,,,,,,,,,
1901,15.26,8.8,9.29,14.34,8.54,15.662,9.003,9.558,14.002,8.256,,,,,,,,,,,,
1902,16.27,8.32,9.43,14.07,8.3,15.746,9.001,9.586,14.004,8.279,,,,,,,,,,,,
1903,15.56,9.29,9.32,14.12,8.22,15.789,9,9.65,14.076,8.295,,,,,,,,,,,,
1904,15.64,9.12,7.87,14.5,8.09,15.73,8.995,9.442,14.146,8.288,,,,,,,,,,,,
1905,15.5,8.88,9.1,14.39,8.23,15.753,9.045,9.43,14.19,8.296,,,,,,,,,,,,
1906,15.5,9.3,9.9,14.81,8.38,15.73,9.095,9.469,14.249,8.313,,,,,,,,,,,,
1907,15.57,8.73,8.49,14.34,7.95,15.727,9.068,9.355,14.302,8.279,,,,,,,,,,,,
1908,15.67,8.6,9.87,14.01,8.19,15.661,8.971,9.318,14.326,8.28,,,,,,,,,,,,
1909,15.84,8.3,9.51,14.05,8.18,15.661,8.869,9.318,14.327,8.258,,,,,,,,,,,,
1910,15.26,9.44,9.55,14.17,8.22,15.607,8.878,9.233,14.28,8.23,,,,,,,,,,,,
1911,15.48,9.93,9.91,13.46,8.18,15.629,8.991,9.295,14.192,8.194,,,,,,,,,,,,
1912,15.61,9.21,9.24,13.95,8.17,15.563,9.08,9.276,14.18,8.181,,,,,,,,,,,,
1913,15.36,9.64,10.76,14.38,8.3,15.543,9.115,9.42,14.206,8.189,,,,,,,,,,,,
1914,16.52,9.69,9.02,14.33,8.59,15.631,9.172,9.535,14.189,8.239,,,,,,,,,,,,
1915,16.11,8.8,9.85,14.3,8.59,15.692,9.164,9.61,14.18,8.275,,,,,,,,,,,,
1916,15.75,9.2,9.1,13.61,8.23,15.717,9.154,9.53,14.06,8.26,,,,,,,,,,,,
1917,15.09,8.32,8.24,14.06,8.02,15.669,9.113,9.505,14.032,8.267,,,,,,,,,,,,
1918,15.55,9.38,9.51,14.14,8.13,15.657,9.191,9.469,14.045,8.261,,,,,,,,,,,,
1919,15.93,8.1,10.05,13.6,8.38,15.666,9.171,9.523,14,8.281,,,,,,,,,,,,
1920,16.02,9.5,9.19,13.72,8.36,15.742,9.177,9.487,13.955,8.295,,,,,,,,,,,,
1921,15.58,10.05,10.91,14.24,8.57,15.752,9.189,9.587,14.033,8.334,,,,,,,,,,,,
1922,16.11,8.26,10.04,13.61,8.41,15.802,9.094,9.667,13.999,8.358,,,,,,,,,,,,
1923,15.77,8.78,9.51,14.13,8.42,15.843,9.008,9.542,13.974,8.37,,,,,,,,,,,,
1924,15.72,8.63,8.85,14.1,8.51,15.763,8.902,9.525,13.951,8.362,,,,,,,,,,,,
1925,15.65,9.18,9.72,14.34,8.53,15.717,8.94,9.512,13.955,8.356,,,,,,,,,,,,
1926,16.04,9.63,8.54,15.14,8.73,15.746,8.983,9.456,14.108,8.406,,,,,,,,,,,,
1927,16.13,8.99,9.7,14.24,8.52,15.85,9.05,9.602,14.126,8.456,,,,,,,,,,,,
1928,16.03,9.36,9.82,14.32,8.63,15.898,9.048,9.633,14.144,8.506,,,,,,,,,,,,
1929,15.96,8.4,9.97,14.25,8.24,15.901,9.078,9.625,14.209,8.492,,,,,,,,,,,,
1930,16.06,9.76,10.22,14.25,8.63,15.905,9.104,9.728,14.262,8.519,,,,,,,,,,,,
1931,15.64,8.83,11.03,14.93,8.72,15.911,8.982,9.74,14.331,8.534,,,,,,,,,,,,
1932,16.04,9.44,10.44,14.24,8.71,15.904,9.1,9.78,14.394,8.564,,,,,,,,,,,,
1933,15.91,9.1,10.18,13.93,8.34,15.918,9.132,9.847,14.374,8.556,,,,,,,,,,,,
1934,15.85,10.22,9.48,15.31,8.63,15.931,9.291,9.91,14.495,8.568,,,,,,,,,,,,
1935,16.33,9.65,9.48,14.12,8.52,15.999,9.338,9.886,14.473,8.567,,,,,,,,,,,,
1936,15.28,9.44,9.73,15.13,8.55,15.923,9.319,10.005,14.472,8.549,,,,,,,,,,,,
1937,16.09,9.57,10.16,14.36,8.7,15.919,9.377,10.051,14.484,8.567,,,,,,,,,,,,
1938,16.32,9.79,10.42,14.35,8.86,15.948,9.42,10.111,14.487,8.59,,,,,,,,,,,,
1939,16.13,9.61,10.07,14.81,8.76,15.965,9.541,10.121,14.543,8.642,,,,,,,,,,,,
1940,16.25,8.05,8.53,15.12,8.76,15.984,9.37,9.952,14.63,8.655,,,,,,,,,,,,
1941,16.39,8.54,10.19,14.98,8.77,16.059,9.341,9.868,14.635,8.66,,,,,,,,,,,,
1942,16.21,8.31,9.96,14.2,8.73,16.076,9.228,9.82,14.631,8.662,,,,,,,,,,,,
1943,16.01,9.83,9.58,14.72,8.76,16.086,9.301,9.76,14.71,8.704,,,,,,,,,,,,
1944,16.14,9.38,10.01,14.17,8.85,16.115,9.217,9.813,14.596,8.726,,,,,,,,,,,,
1945,15.91,10.03,9.94,14.41,8.58,16.073,9.255,9.859,14.625,8.732,,,,,,,,,,,,
1946,16.7,9.17,10.63,13.83,8.68,16.215,9.228,9.949,14.495,8.745,,,,,,,,,,,,
1947,15.87,9.41,9.91,14.51,8.8,16.193,9.212,9.924,14.51,8.755,,,,,,,,,,,,
1948,16.49,9.96,9.83,13.65,8.75,16.21,9.229,9.865,14.44,8.744,,,,,,,,,,,,
1949,16.56,10.12,11.39,13.9,8.59,16.253,9.28,9.997,14.349,8.727,,,,,,,,,,,,
1950,16.4,9.48,9.72,14.66,8.37,16.268,9.423,10.116,14.303,8.688,,,,,,,,,,,,
1951,16.18,9.57,10.27,14.06,8.63,16.247,9.526,10.124,14.211,8.674,,,,,,,,,,,,
1952,16.1,8.94,10.52,14.11,8.64,16.236,9.589,10.18,14.202,8.665,,,,,,,,,,,,
1953,17.03,9.82,11.17,14.42,8.87,16.338,9.588,10.339,14.172,8.676,,,,,,,,,,,,
1954,15.85,8.98,10.31,14.18,8.56,16.309,9.548,10.369,14.173,8.647,,,,,,,,,,,,
1955,16.06,8.84,10.39,13.74,8.63,16.324,9.429,10.414,14.106,8.652,,,,,,,,,,,,
1956,15.61,8.15,9.75,14.08,8.28,16.215,9.327,10.326,14.131,8.612,,,,,,,,,,,,
1957,15.6,9.89,10.5,14.59,8.73,16.188,9.375,10.385,14.139,8.605,,,,,,,,,,,,
1958,16.07,9.4,9.16,15.41,8.77,16.146,9.319,10.318,14.315,8.607,,,,,,,,,,,,
1959,16.54,10.17,10.77,15.39,8.73,16.144,9.324,10.256,14.464,8.621,,,,,,,,,,,,
1960,16.6,9.69,9.76,14.59,8.58,16.164,9.345,10.26,14.457,8.642,,,,,,,,,,,,
1961,17.02,9.94,10.03,14.65,8.8,16.248,9.382,10.236,14.516,8.659,,,,,,,,,,,,
1962,16.11,8.12,9.32,14.22,8.75,16.249,9.3,10.116,14.527,8.67,,,,,,,,,,,,
1963,16.2,7.81,9.32,14.19,8.86,16.166,9.099,9.931,14.504,8.669,,,,,,,,,,,,
1964,16.58,9.18,9.96,14.24,8.41,16.239,9.119,9.896,14.51,8.654,,,,,,,,,,,,
1965,16.06,8.74,9.63,14.14,8.53,16.239,9.109,9.82,14.55,8.644,,,,,,,,,,,,
1966,16.5,9.47,9.75,14.74,8.6,16.328,9.241,9.82,14.616,8.676,,,,,,,,,,,,
1967,16.05,9.92,9.3,14.5,8.7,16.373,9.244,9.7,14.607,8.673,,,,,,,,,,,,
1968,16.13,9.14,9.75,14.66,8.52,16.379,9.218,9.759,14.532,8.648,,,,,,,,,,,,
1969,15.64,9.18,9.76,14.51,8.6,16.289,9.119,9.658,14.444,8.635,,,,,,,,,,,,
1970,15.82,9.07,9.77,14.76,8.7,16.211,9.057,9.659,14.461,8.647,,,,,,,,,,,,
1971,16.22,9.51,10.01,13.89,8.6,16.131,9.014,9.657,14.385,8.627,,,,,,,,,,,,
1972,15.71,8.96,9.49,14.25,8.5,16.091,9.098,9.674,14.388,8.602,,,,,,,,,,,,
1973,16.32,9.44,10.96,14.58,8.95,16.103,9.261,9.838,14.427,8.611,,,,,,,,,,,,
1974,15.93,9.73,10.08,14.41,8.47,16.038,9.316,9.85,14.444,8.617,,,,,,,,,,,,
1975,16.48,9.87,10.56,13.82,8.74,16.08,9.429,9.943,14.412,8.638,,,,,,,,,,,,
1976,15.71,9.82,9.53,14.72,8.35,16.001,9.464,9.921,14.41,8.613,,,,,,,,,,,,
1977,16.17,9.66,9.96,14.63,8.85,16.013,9.438,9.987,14.423,8.628,,,,,,,,,,,,
1978,16.67,8.95,9.17,14.96,8.69,16.067,9.419,9.929,14.453,8.645,,,,,,,,,,,,
1979,16.54,8.45,10.02,14.99,8.73,16.157,9.346,9.955,14.501,8.658,,,,,,,,,,,,
1980,15.57,9.12,9.86,14.74,8.98,16.132,9.351,9.964,14.499,8.686,,,,,,,,,,,,
1981,15.91,9.26,9.95,15.22,9.17,16.101,9.326,9.958,14.632,8.743,,,,,,,,,,,,
1982,16.2,9.98,9.78,14,8.64,16.15,9.428,9.987,14.607,8.757,,,,,,,,,,,,
1983,16.22,9.95,10.51,15.07,9.03,16.14,9.479,9.942,14.656,8.765,,,,,,,,,,,,
1984,15.8,9.34,10.26,14.97,8.69,16.127,9.44,9.96,14.712,8.787,,,,,,,,,,,,
1985,16.04,8.42,10.26,14.23,8.66,16.083,9.295,9.93,14.753,8.779,,,,,,,,,,,,
1986,15.94,8.79,10.15,15,8.83,16.106,9.192,9.992,14.781,8.827,,,,,,,,,,,,
1987,16.19,8.66,10.32,14.95,8.99,16.108,9.092,10.028,14.813,8.841,,,,,,,,,,,,
1988,16.17,10.21,9.93,15.08,9.2,16.058,9.218,10.104,14.825,8.892,,,,,,,,,,,,
1989,16.24,10.57,9.66,14.45,8.92,16.028,9.43,10.068,14.771,8.911,,,,,,,,,,,,
1990,17.26,10.63,11.32,14.73,9.23,16.197,9.581,10.214,14.77,8.936,,,,,,,,,,,,
1991,16.14,9.32,11.36,14.5,9.18,16.22,9.587,10.355,14.698,8.937,,,,,,,,,,,,
1992,16.14,10.39,9.57,15.53,8.84,16.214,9.628,10.334,14.851,8.957,,,,,,,,,,,,
1993,15.98,9.47,10.04,14.97,8.87,16.19,9.58,10.287,14.841,8.941,,,,,,,,,,,,
1994,17.34,10.45,10,14.21,9.04,16.344,9.691,10.261,14.765,8.976,,,,,,,,,,,,
1995,16.36,10.25,10.24,15.31,9.35,16.376,9.874,10.259,14.873,9.045,,,,,,,,,,,,
1996,16.21,8.32,9.81,15.56,9.04,16.403,9.827,10.225,14.929,9.066,,,,,,,,,,,,
1997,16.76,10.03,10,15.75,9.2,16.46,9.964,10.193,15.009,9.087,,,,,,,,,,,,
1998,17.56,10.18,11.82,14.38,9.52,16.599,9.961,10.382,14.939,9.119,,,,,,,,,,,,
1999,16.68,10.74,11.16,14.41,9.29,16.643,9.978,10.532,14.935,9.156,,,,,,,,,,,,
2000,16.9,10.75,9.97,15.02,9.2,16.607,9.99,10.397,14.964,9.153,,,,,,,,,,,,
2001,16.93,10.24,10.93,15.25,9.41,16.686,10.082,10.354,15.039,9.176,,,,,,,,,,,,
2002,17.22,10.64,11.25,15,9.57,16.794,10.107,10.522,14.986,9.249,,,,,,,,,,,,
2003,16.74,10.28,9.84,15.43,9.53,16.87,10.188,10.502,15.032,9.315,,,,,,,,,,,,
2004,17.24,10.27,10.39,15.37,9.32,16.86,10.17,10.541,15.148,9.343,,,,,,,,,,,,
2005,16.75,10.48,10.68,15.17,9.7,16.899,10.193,10.585,15.134,9.378,,,,,,,,,,,,
2006,17.41,10.97,11.52,15.02,9.53,17.019,10.458,10.756,15.08,9.427,,,,,,,,,,,,
2007,17.63,11.04,10.63,14.94,9.73,17.106,10.559,10.819,14.999,9.48,,,,,,,,,,,,
2008,16.72,10.42,10.64,15.05,9.43,17.022,10.583,10.701,15.066,9.471,,,,,,,,,,,,
2009,17.01,10.33,10.14,15.02,9.51,17.055,10.542,10.599,15.127,9.493,,,,,,,,,,,,
2010,16.75,8.84,11.36,14.67,9.7,17.04,10.351,10.738,15.092,9.543,,,,,,,,,,,,
2011,16.52,10.73,11.27,14.5,9.52,16.999,10.4,10.772,15.017,9.554,,,,,,,,,,,,
2012,16.47,10.08,11.97,15.05,9.51,16.924,10.344,10.844,15.022,9.548,,,,,,,,,,,,
2013,17.86,9.54,12.16,16.23,9.61,17.036,10.27,11.076,15.102,9.556,,,,,,,,,,,,
